target,source,flow
Louisiana,Iowa,457
Louisiana,Kansas,1115
Louisiana,Kentucky,2009
Louisiana,Maine,47
Louisiana,Maryland,1149
Louisiana,Massachusetts,837
Louisiana,Michigan,1776
Louisiana,Minnesota,592
Louisiana,Mississippi,11095
Louisiana,Missouri,738
Louisiana,Montana,57
Louisiana,Nebraska,112
Louisiana,Nevada,731
Louisiana,New Hampshire,51
Louisiana,New Jersey,1715
Louisiana,New Mexico,524
Louisiana,New York,4417
Louisiana,North Carolina,2292
Louisiana,North Dakota,205
Louisiana,Ohio,1492
Louisiana,Oklahoma,2282
Louisiana,Oregon,112
Louisiana,Pennsylvania,1831
Louisiana,Rhode Island,161
Louisiana,South Carolina,1505
Louisiana,South Dakota,0
Louisiana,Tennessee,2957
Louisiana,Texas,19863
Louisiana,Utah,180
Louisiana,Vermont,0
Louisiana,Virginia,1732
Louisiana,Washington,1486
Louisiana,West Virginia,90
Louisiana,Wisconsin,322
Louisiana,Wyoming,26
Maine,Alabama,0
Maine,Alaska,32
Maine,Arizona,256
Maine,Arkansas,0
Maine,California,1286
Maine,Colorado,585
Maine,Connecticut,1616
Maine,Delaware,0
Maine,District of Columbia ,120
Maine,Florida,2602
Maine,Georgia,108
Maine,Hawaii,346
Maine,Idaho,89
Maine,Illinois,297
Maine,Indiana,172
Maine,Iowa,212
Maine,Kansas,356
Maine,Kentucky,292
Maine,Louisiana,617
Maine,Maryland,216
Maine,Massachusetts,4433
Maine,Michigan,168
Maine,Minnesota,25
Maine,Mississippi,0
Maine,Missouri,0
Maine,Montana,16
Maine,Nebraska,225
Maine,Nevada,29
Maine,New Hampshire,4443
Maine,New Jersey,1255
Maine,New Mexico,0
Maine,New York,1947
Maine,North Carolina,766
Maine,North Dakota,0
Maine,Ohio,478
Maine,Oklahoma,42
Maine,Oregon,471
Maine,Pennsylvania,987
Maine,Rhode Island,890
Maine,South Carolina,418
Maine,South Dakota,22
Maine,Tennessee,220
Maine,Texas,1817
Maine,Utah,159
Maine,Vermont,769
Maine,Virginia,480
Maine,Washington,429
Maine,West Virginia,35
Maine,Wisconsin,189
Maine,Wyoming,208
Maryland,Alabama,1526
Maryland,Alaska,361
Maryland,Arizona,2649
