source,target,flow,year
Iowa,District of Columbia ,308,2009
Iowa,Florida,1403,2009
Iowa,Georgia,1629,2009
Iowa,Hawaii,502,2009
Iowa,Idaho,314,2009
Iowa,Illinois,11981,2009
Iowa,Indiana,2242,2009
Iowa,Kansas,2310,2009
Iowa,Kentucky,1120,2009
Iowa,Louisiana,1155,2009
Iowa,Maine,311,2009
Iowa,Maryland,193,2009
Iowa,Massachusetts,193,2009
Iowa,Michigan,1203,2009
Iowa,Minnesota,5480,2009
Iowa,Mississippi,638,2009
Iowa,Missouri,2588,2009
Iowa,Montana,312,2009
Iowa,Nebraska,7380,2009
Iowa,Nevada,1311,2009
Iowa,New Hampshire,0,2009
Iowa,New Jersey,255,2009
Iowa,New Mexico,141,2009
Iowa,New York,952,2009
Iowa,North Carolina,761,2009
Iowa,North Dakota,1508,2009
Iowa,Ohio,835,2009
Iowa,Oklahoma,1273,2009
Iowa,Oregon,161,2009
Iowa,Pennsylvania,642,2009
Iowa,Rhode Island,0,2009
Iowa,South Carolina,451,2009
Iowa,South Dakota,3562,2009
Iowa,Tennessee,320,2009
Iowa,Texas,2932,2009
Iowa,Utah,502,2009
Iowa,Vermont,17,2009
Iowa,Virginia,534,2009
Iowa,Washington,1836,2009
Iowa,West Virginia,0,2009
Iowa,Wisconsin,3573,2009
Iowa,Wyoming,713,2009
Kansas,Alabama,1323,2009
Kansas,Alaska,947,2009
Kansas,Arizona,2689,2009
Kansas,Arkansas,1292,2009
Kansas,California,6776,2009
Kansas,Colorado,4231,2009
Kansas,Connecticut,0,2009
Kansas,Delaware,0,2009
Kansas,District of Columbia ,74,2009
Kansas,Florida,3805,2009
Kansas,Georgia,2970,2009
Kansas,Hawaii,624,2009
Kansas,Idaho,387,2009
Kansas,Illinois,2637,2009
Kansas,Indiana,2660,2009
Kansas,Iowa,2181,2009
Kansas,Kentucky,773,2009
Kansas,Louisiana,1614,2009
Kansas,Maine,4,2009
Kansas,Maryland,797,2009
Kansas,Massachusetts,703,2009
Kansas,Michigan,2736,2009
Kansas,Minnesota,1774,2009
Kansas,Mississippi,641,2009
Kansas,Missouri,24307,2009
Kansas,Montana,233,2009
Kansas,Nebraska,2902,2009
Kansas,Nevada,1983,2009
Kansas,New Hampshire,175,2009
Kansas,New Jersey,1702,2009
Kansas,New Mexico,1145,2009
Kansas,New York,900,2009
Kansas,North Carolina,1476,2009
Kansas,North Dakota,423,2009
Kansas,Ohio,2021,2009
Kansas,Oklahoma,6975,2009
Kansas,Oregon,494,2009
Kansas,Pennsylvania,168,2009
Kansas,Rhode Island,663,2009
Kansas,South Carolina,426,2009
Kansas,South Dakota,865,2009
Kansas,Tennessee,2799,2009
Kansas,Texas,8527,2009
Kansas,Utah,394,2009
Kansas,Vermont,0,2009
Kansas,Virginia,1162,2009
Kansas,Washington,568,2009
Kansas,West Virginia,0,2009
Kansas,Wisconsin,237,2009
Kansas,Wyoming,422,2009
Kentucky,Alabama,1904,2009
Kentucky,Alaska,1567,2009
Kentucky,Arizona,2014,2009
Kentucky,Arkansas,680,2009
Kentucky,California,2985,2009
Kentucky,Colorado,1121,2009
Kentucky,Connecticut,191,2009
Kentucky,Delaware,137,2009
Kentucky,District of Columbia ,177,2009
Kentucky,Florida,7638,2009
Kentucky,Georgia,4830,2009
Kentucky,Hawaii,144,2009
Kentucky,Idaho,129,2009
Kentucky,Illinois,4558,2009
Kentucky,Indiana,10764,2009
Kentucky,Iowa,814,2009
Kentucky,Kansas,1665,2009
Kentucky,Louisiana,739,2009
